start_time,key,thumb_pos,finger,hand,white_key_index,midi
0.0,D4,29,1,R,29,62
0.5,D4,29,1,R,29,62
1.0,E4,29,2,R,30,64
2.0,D4,29,1,R,29,62
3.0,G4,29,4,R,32,67
4.0,D4,29,1,R,29,62
4.5,D4,29,1,R,29,62
5.0,E4,29,2,R,30,64
6.0,D4,29,1,R,29,62
7.0,A4,29,5,R,33,69
8.0,G4,29,4,R,32,67
10.0,D4,29,1,R,29,62
10.5,D4,29,1,R,29,62
11.0,D5,32,5,R,36,74
12.0,B4,32,3,R,34,71
13.0,G4,32,1,R,32,67
14.0,E4,30,1,R,30,64
14.5,C5,31,5,R,35,72
15.0,C5,31,5,R,35,72
15.5,B4,31,4,R,34,71
16.5,G4,31,2,R,32,67
17.5,A4,31,3,R,33,69
18.5,G4,31,2,R,32,67
20.5,G2,18,1,L,18,43
20.5,G2,18,1,L,20,47
20.5,G2,18,1,L,22,50
20.5,B2,20,1,R,18,43
20.5,B2,20,1,R,20,47
20.5,B2,20,1,R,22,50
20.5,D3,22,1,R,18,43
20.5,D3,22,1,R,20,47
20.5,D3,22,1,R,22,50
23.5,D3,22,1,R,22,50
23.5,D3,22,1,R,26,57
23.5,A3,22,5,R,22,50
23.5,A3,22,5,R,26,57
26.5,D3,22,1,R,22,50
26.5,D3,22,1,R,26,57
26.5,A3,22,5,R,22,50
26.5,A3,22,5,R,26,57
29.5,G2,18,1,L,18,43
29.5,G2,18,1,L,20,47
29.5,G2,18,1,L,22,50
29.5,B2,18,3,R,18,43
29.5,B2,18,3,R,20,47
29.5,B2,18,3,R,22,50
29.5,D3,18,5,R,18,43
29.5,D3,18,5,R,20,47
29.5,D3,18,5,R,22,50
32.5,G2,18,1,R,18,43
32.5,G2,18,1,R,20,47
32.5,G2,18,1,R,22,50
32.5,B2,20,1,R,18,43
32.5,B2,20,1,R,20,47
32.5,B2,20,1,R,22,50
32.5,D3,21,2,R,18,43
32.5,D3,21,2,R,20,47
32.5,D3,21,2,R,22,50
35.5,C3,21,1,R,21,48
35.5,C3,21,1,R,23,52
35.5,C3,21,1,R,25,55
35.5,E3,21,3,R,21,48
35.5,E3,21,3,R,23,52
35.5,E3,21,3,R,25,55
35.5,G3,21,5,R,21,48
35.5,G3,21,5,R,23,52
35.5,G3,21,5,R,25,55
38.5,G2,18,1,R,18,43
38.5,G2,18,1,R,20,47
38.5,G2,18,1,R,22,50
38.5,B2,20,1,R,18,43
38.5,B2,20,1,R,20,47
38.5,B2,20,1,R,22,50
38.5,D3,22,1,R,18,43
38.5,D3,22,1,R,20,47
38.5,D3,22,1,R,22,50
40.5,D3,22,1,R,22,50
40.5,D3,22,1,R,26,57
40.5,A3,22,5,R,22,50
40.5,A3,22,5,R,26,57
41.5,G2,18,1,L,18,43
41.5,G2,18,1,L,20,47
41.5,G2,18,1,L,22,50
41.5,B2,18,3,R,18,43
41.5,B2,18,3,R,20,47
41.5,B2,18,3,R,22,50
41.5,D3,18,5,R,18,43
41.5,D3,18,5,R,20,47
41.5,D3,18,5,R,22,50
