Time,L_Notes,L_Thumb,L_Fingers,L_Techniques,L_Commands,R_Notes,R_Thumb,R_Fingers,R_Techniques,R_Commands
0.0,C3,16,1,normal,1,E4,23,3,normal,3
1.0,,,,,,D4,23,2,normal,2
2.0,G2,16,4,normal,4,C4,23,1,normal,1
3.0,,,,,,D4,23,2,normal,2
4.0,C3,16,1,normal,1,E4,23,3,normal,3
5.0,,,,,,E4,23,3,normal,3
6.0,G2,16,4,normal,4,E4,23,3,normal,3
8.0,G2,16,4,normal,4,D4,23,2,normal,2
9.0,,,,,,D4,23,2,normal,2
10.0,B2,16,2,normal,2,D4,23,2,normal,2
12.0,C3,16,1,normal,1,E4,23,3,normal,3
13.0,,,,,,G4,23,5,normal,5
14.0,G2,16,4,normal,4,G4,23,5,normal,5
16.0,C3,16,1,normal,1,E4,23,3,normal,3
17.0,,,,,,D4,23,2,normal,2
18.0,G2,16,4,normal,4,C4,23,1,normal,1
19.0,,,,,,D4,23,2,normal,2
20.0,C3,16,1,normal,1,E4,23,3,normal,3
21.0,,,,,,E4,23,3,normal,3
22.0,G2,16,4,normal,4,E4,23,3,normal,3
23.0,,,,,,E4,23,3,normal,3
24.0,G2,16,4,normal,4,D4,23,2,normal,2
25.0,,,,,,D4,23,2,normal,2
26.0,B2,16,2,normal,2,E4,23,3,normal,3
27.0,,,,,,D4,23,2,normal,2
28.0,C3,16,1,normal,1,E4,23,3,normal,3
