start_time,midi,duration,white_key_index,is_black
0.0,64,1.0,25,0
0.0,48,2.0,16,0
1.0,62,1.0,24,0
2.0,60,1.0,23,0
2.0,43,2.0,13,0
3.0,62,1.0,24,0
4.0,64,1.0,25,0
4.0,48,2.0,16,0
5.0,64,1.0,25,0
6.0,64,2.0,25,0
6.0,43,2.0,13,0
8.0,62,1.0,24,0
8.0,43,2.0,13,0
9.0,62,1.0,24,0
10.0,62,2.0,24,0
10.0,47,2.0,15,0
12.0,64,1.0,25,0
12.0,48,2.0,16,0
13.0,67,1.0,27,0
14.0,67,2.0,27,0
14.0,43,2.0,13,0
16.0,64,1.0,25,0
16.0,48,2.0,16,0
17.0,62,1.0,24,0
18.0,60,1.0,23,0
18.0,43,2.0,13,0
19.0,62,1.0,24,0
20.0,64,1.0,25,0
20.0,48,2.0,16,0
21.0,64,1.0,25,0
22.0,64,1.0,25,0
22.0,43,2.0,13,0
23.0,64,1.0,25,0
24.0,62,1.0,24,0
24.0,43,2.0,13,0
25.0,62,1.0,24,0
26.0,64,1.0,25,0
26.0,47,2.0,15,0
27.0,62,1.0,24,0
28.0,64,4.0,25,0
28.0,48,4.0,16,0
